baseline=agentic_codex_qa_txt  model=gpt54mini  questions=12  docs=50
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'Energy Transfer Company'  in=133318  lat=14.6s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'NGL Supply Terminal Company, LLC'  in=83555  lat=7.0s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Flint Hills Resources, LLC'  in=84229  lat=7.8s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   'Alliance'  in=212926  lat=19.5s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'Tallgrass Energy, LP'  in=56185  lat=8.2s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               'DGC'  in=225022  lat=22.0s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Zenith Energy Terminals Joliet Holdings, LLC'  in=57602  lat=5.5s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Tallgrass Energy, LP'  in=85051  lat=7.5s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'Pembina Cochin, LLC'  in=88566  lat=7.8s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Centra Pipeline Minnesota Inc.'  in=56079  lat=5.0s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Enbridge Storage (Cushing), LLC'  in=85230  lat=15.4s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Ferrellgas, L.P.'  in=57339  lat=6.2s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'ONEOK, Inc.'  in=144708  lat=15.6s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Magellan Pipeline Company, L.P.'  in=57450  lat=7.6s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Aux Sable Liquid Products'  in=42965  lat=7.1s
  ✗ 32024054NOPV_PCO_08232024_(23-264382)                   'Tallgrass Energy, LP'  in=70505  lat=6.5s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Express Holdings (USA), LLC'  in=42882  lat=4.9s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'BP Oil Pipeline Company'  in=42896  lat=4.9s
  ✗ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Boardwalk Pipelines, LP'  in=55954  lat=5.2s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Boardwalk Pipelines, LP'  in=113314  lat=8.6s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Northern Natural Gas Company'  in=57081  lat=5.0s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Pembina Cochin, LLC'  in=43847  lat=6.6s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Spire STL Pipeline, LLC'  in=213615  lat=20.7s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Lakes Gas Company'  in=55915  lat=5.1s
  ✗ 32025006NOPV_PCP PCO_08182025_(23-264820)               'Boardwalk Pipelines, LP'  in=111351  lat=9.7s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Viking Gas Transmission Co.'  in=88048  lat=10.8s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Tallgrass Energy Partners, LP'  in=43784  lat=5.0s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'CountryMark Refining and Logistics, LLC'  in=91723  lat=9.1s

Question: What is the legal name of the pipeline operator to whom this Notice is
  accuracy=0.94 (47/50)  avg_in=82447  avg_lat=8.7s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'CPF 3-2022-062-NOPV'  in=56037  lat=7.9s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'CPF 3-2022-069-NOPV'  in=263475  lat=22.9s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'CPF 3-2023-002-NOPV'  in=110327  lat=9.5s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'CPF 3-2023-005-NOPV'  in=110780  lat=10.8s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'CPF 3-2023-006-NOPV'  in=43512  lat=5.2s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '3-2023-008-NOPV'  in=56466  lat=7.8s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'CPF 3-2023-011-NOPV'  in=56647  lat=4.9s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'CPF 3-2023-014-NOPV'  in=68353  lat=7.3s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'CPF 3-2023-016-NOPV'  in=57271  lat=5.0s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'CPF 3-2023-020-NOPV'  in=56868  lat=5.6s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'CPF 3-2023-021-NOPV'  in=110275  lat=10.8s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'CPF 3-2023-022-NOPV'  in=110913  lat=11.3s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'CPF 3-2023-026-NOPV'  in=57413  lat=5.0s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'CPF 3-2023-033-NOPV'  in=56419  lat=5.4s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'CPF 3-2024-001-NOPV'  in=55767  lat=6.5s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'CPF 3-2024-004-NOPV'  in=110349  lat=11.2s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'CPF 3-2024-007-NOPV'  in=68866  lat=7.6s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'CPF 3-2024-008-NOPV'  in=111073  lat=14.0s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'CPF 3-2024-011-NOPV'  in=82065  lat=6.8s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'CPF 3-2024-012-NOPV'  in=110409  lat=9.1s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'CPF 3-2024-016-NOPV'  in=70053  lat=7.5s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'CPF 3-2024-019-NOPV'  in=42452  lat=7.2s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'CPF 3-2024-020-NOPV'  in=92203  lat=7.8s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'CPF 3-2024-022-NOPV'  in=82078  lat=6.3s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'CPF 3-2024-028-NOPV'  in=57117  lat=5.1s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   'CPF 3-2024-030-NOPV'  in=577846  lat=37.9s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'CPF 3-2024-035-NOPV'  in=81576  lat=7.2s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'NOT_FOUND'  in=318787  lat=28.1s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'CPF 3-2024-038-NOPV'  in=110750  lat=9.8s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'CPF 3-2024-040-NOPV'  in=82121  lat=6.6s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'CPF 3-2024-042-NOPV'  in=56420  lat=5.1s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'CPF 3-2024-044-NOPV'  in=110324  lat=8.7s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'CPF 3-2024-045-NOPV'  in=111046  lat=9.6s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'CPF 3-2024-049-NOPV'  in=110258  lat=15.5s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'CPF 3-2024-050-NOPV'  in=82103  lat=7.6s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'CPF 3-2024-052-NOPV'  in=57417  lat=4.8s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'CPF 3-2024-053-NOPV'  in=81476  lat=9.3s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '3-2024-054-NOPV'  in=97107  lat=12.1s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'CPF 3-2024-056-NOPV'  in=56638  lat=6.8s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'CPF 3-2024-058-NOPV'  in=43299  lat=6.6s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'CPF 3-2024-062-NOPV'  in=56235  lat=5.3s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '3-2024-066-NOPV'  in=57143  lat=5.2s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'CPF 3-2024-069-NOPV'  in=68811  lat=12.6s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '3-2024-071-NOPV'  in=68850  lat=6.6s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               'NOT_FOUND'  in=358794  lat=28.9s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '3-2025-004-NOPV'  in=57306  lat=5.3s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'CPF 3-2025-006-NOPV'  in=110468  lat=9.8s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'CPF 3-2025-007-NOPV'  in=43164  lat=5.2s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'CPF 3-2025-008-NOPV'  in=57493  lat=5.1s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'CPF 3-2025-022-NOPV'  in=68845  lat=9.3s

Question: What is the CPF case number assigned to this enforcement action?
  accuracy=0.92 (46/50)  avg_in=100429  avg_lat=9.6s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Central'  in=97985  lat=10.9s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   'Central Region'  in=83880  lat=7.9s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Central Region'  in=56996  lat=5.9s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'Central Region'  in=105458  lat=9.5s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Central Region'  in=89090  lat=7.3s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Central Region'  in=90909  lat=7.1s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Central'  in=110223  lat=11.4s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Central Region'  in=127110  lat=9.7s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Central Region'  in=92907  lat=7.5s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Central'  in=90888  lat=7.6s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Central Region'  in=92304  lat=7.8s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Central Region'  in=87035  lat=11.7s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Central Region'  in=87888  lat=6.8s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Central Region'  in=56445  lat=10.9s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'Central Region'  in=110711  lat=11.9s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'Central'  in=118818  lat=10.6s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'Central Region'  in=56964  lat=5.2s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'Central Region'  in=94588  lat=7.8s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Central Region'  in=56789  lat=4.8s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Central Region'  in=87699  lat=7.8s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Central Region'  in=55729  lat=7.1s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'Central'  in=110960  lat=8.5s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'Central'  in=132161  lat=9.8s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'Central'  in=110227  lat=8.3s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Central'  in=88688  lat=7.8s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   'Central'  in=124813  lat=12.2s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'Central Region'  in=110684  lat=8.2s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               'Central'  in=111014  lat=8.4s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Central Region'  in=57620  lat=7.8s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Central Region'  in=79494  lat=9.2s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'Central'  in=97960  lat=9.7s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Central Region'  in=57244  lat=6.5s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Central Region'  in=97885  lat=15.1s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Central Region'  in=88595  lat=13.4s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'Central'  in=44154  lat=6.7s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Central Region'  in=57462  lat=5.0s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Central'  in=110441  lat=12.8s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'Central'  in=111018  lat=8.2s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Central Region'  in=89175  lat=8.8s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'Central Region'  in=56557  lat=10.5s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Central Region'  in=42802  lat=5.2s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Central Region'  in=56614  lat=4.6s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Central Region'  in=89103  lat=8.0s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Central Region'  in=89096  lat=7.7s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Central'  in=130958  lat=13.3s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Central'  in=44100  lat=4.7s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'Central'  in=111101  lat=9.9s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Central Region'  in=90078  lat=10.7s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Central'  in=88811  lat=11.4s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'Central'  in=122931  lat=10.1s

Question: Which PHMSA Region office (e.g., Eastern, Southern, Central, Western, 
  accuracy=1.00 (50/50)  avg_in=89043  avg_lat=8.8s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'September 14, 2022'  in=56054  lat=5.6s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   '11/29/2022'  in=148100  lat=13.2s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '2023.01.18'  in=125290  lat=12.2s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'January 25, 2023'  in=156462  lat=13.4s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'May 4, 2023'  in=110855  lat=8.8s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'June 2, 2023'  in=110756  lat=12.1s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'September 12, 2023'  in=43144  lat=7.3s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'July 27, 2023'  in=55965  lat=7.8s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'September 8, 2023'  in=83565  lat=7.3s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'August 11, 2023'  in=55719  lat=4.9s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'September 18, 2023'  in=83336  lat=6.9s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'August 24, 2023'  in=70281  lat=7.0s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'September 8, 2023'  in=141104  lat=11.8s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'November 27, 2023'  in=83815  lat=8.4s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'December 19, 2024'  in=55796  lat=6.4s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'March 1, 2024'  in=83046  lat=6.9s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'January 18, 2024'  in=70530  lat=7.4s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'October 25, 2024'  in=43185  lat=5.8s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'February 6, 2024'  in=55413  lat=4.8s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'February 6, 2024'  in=83348  lat=6.4s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'February 13, 2024'  in=55762  lat=5.2s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'March 4, 2024'  in=55649  lat=4.8s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'June 13, 2024'  in=70510  lat=7.4s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'May 8, 2024'  in=42796  lat=4.8s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'December 30, 2024'  in=83072  lat=6.6s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   'June 3, 2024'  in=186246  lat=16.7s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'April 15, 2024'  in=69976  lat=9.3s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'June 28, 2024'  in=209022  lat=23.7s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'May 31, 2024'  in=111149  lat=9.5s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'September 6, 2024'  in=55463  lat=5.2s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'June 3, 2024'  in=42939  lat=9.6s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'April 18, 2024'  in=55377  lat=5.7s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'May 10, 2024'  in=56157  lat=5.0s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'July 2, 2024'  in=55981  lat=7.7s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'August 28, 2024'  in=83394  lat=9.3s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'July 3, 2024'  in=83735  lat=6.8s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'December 12, 2024'  in=70533  lat=7.4s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '2024.08.23'  in=110674  lat=13.8s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'October 25, 2024'  in=83634  lat=7.5s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'December 4, 2024'  in=56039  lat=4.4s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'November 21, 2024'  in=55953  lat=4.7s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'August 22, 2024'  in=110220  lat=8.8s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'November 14, 2024'  in=55482  lat=5.1s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'November 14, 2024'  in=56251  lat=6.4s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               'January 16, 2025'  in=164011  lat=16.8s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'May 5, 2025'  in=55905  lat=5.0s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'August 18, 2025'  in=111429  lat=13.2s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'June 25, 2025'  in=83655  lat=7.6s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'June 16, 2025'  in=69958  lat=8.7s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'July 18, 2025'  in=56014  lat=5.3s

Question: On what date was this Notice of Probable Violation issued?
  accuracy=0.92 (46/50)  avg_in=83455  avg_lat=8.3s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'June 7 through September 20, 2021'  in=56419  lat=4.8s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'NOT_FOUND'  in=356616  lat=33.9s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'February 26 to February 28, 2021'  in=43771  lat=4.8s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'September 12 to September 16, 2022'  in=57273  lat=6.6s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'February 2022 to August 2022'  in=145225  lat=15.8s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'August 23, 2021 to October 4, 2021'  in=55934  lat=6.5s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'March 14 through August 12, 2022'  in=56667  lat=5.2s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'September 19 to September 23, 2022'  in=111798  lat=9.4s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'October 3 to November 4, 2022'  in=57289  lat=6.3s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'April 4 to July 29, 2022'  in=43704  lat=10.2s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'August 30 to September 1, 2022'  in=56998  lat=5.6s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'February 7, 2022, to October 14, 2022'  in=57303  lat=6.8s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'June 27 to August 25, 2022'  in=111592  lat=8.3s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'March 28 through September 23, 2022'  in=56463  lat=5.1s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'May 20, 2024 through October 18, 2024'  in=111083  lat=8.8s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'August 15 to September 28, 2022'  in=111398  lat=12.0s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'March 28 through September 23, 2022'  in=56933  lat=5.8s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'February 28, 2022, through June 15, 2023'  in=95545  lat=8.3s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'April 10 through May 4, 2023'  in=56815  lat=6.1s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'April 10 through May 4, 2023'  in=98615  lat=9.0s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'February 14 to July 27, 2023'  in=55710  lat=6.5s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'April 25 through May 27, 2022'  in=42456  lat=5.6s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'March 29 to January 11, 2023'  in=222295  lat=29.7s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'June 5 to June 9, 2023'  in=57618  lat=6.1s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'April 18, 2022 through December 14, 2022'  in=111481  lat=8.7s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   'NOT_FOUND'  in=272027  lat=29.2s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'May 22 to June 8, 2023'  in=56506  lat=5.2s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'NOT_FOUND'  in=354597  lat=29.3s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'September 12 through November 30, 2022'  in=57616  lat=7.2s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'February 2, 2023, to January 25, 2024'  in=57469  lat=6.2s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'July 26 to September 14, 2023'  in=56407  lat=5.9s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'August 28 to August 31, 2023'  in=57217  lat=5.1s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'September 18 to September 28, 2023'  in=110829  lat=8.8s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'May 15 to May 19, 2023'  in=111325  lat=10.8s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'April 3 through November 8, 2023'  in=57399  lat=6.8s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'March 6 to March 8, 2023'  in=57437  lat=6.5s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'July 18 through August 12, 2022'  in=56636  lat=5.4s
