baseline=agentic_codex_qa_txt  model=gpt54  questions=12  docs=50
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Centra Pipeline Minnesota Inc.'  in=78905  lat=18.3s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Enbridge Storage (Cushing), LLC'  in=90523  lat=9.8s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Ferrellgas, L.P.'  in=59049  lat=7.4s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'ONEOK, Inc.'  in=91854  lat=15.1s
  ✗ 32024052NOPV_PCP PCO_07032024_(24-305436)               'ONEOK, Inc.'  in=81237  lat=13.2s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Aux Sable Liquid Products'  in=195149  lat=22.2s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'East Cheyenne Gas Storage, LLC'  in=159457  lat=23.4s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Express Holdings (USA), LLC'  in=58206  lat=9.1s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'BP Oil Pipeline Company'  in=57836  lat=7.9s
  ✗ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Boardwalk Pipelines, LP'  in=128975  lat=29.4s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Boardwalk Pipelines, LP'  in=86948  lat=10.8s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Northern Natural Gas Company'  in=58298  lat=8.0s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Pembina Cochin, LLC'  in=87189  lat=10.8s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Spire STL Pipeline, LLC'  in=174107  lat=26.8s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Lakes Gas Company'  in=87317  lat=13.1s
  ✗ 32025006NOPV_PCP PCO_08182025_(23-264820)               'Boardwalk Pipelines, LP'  in=92987  lat=22.9s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Viking Gas Transmission Co.'  in=147815  lat=14.9s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Tallgrass Energy Partners, LP'  in=115533  lat=20.0s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'CountryMark Refining and Logistics, LLC'  in=58040  lat=10.3s

Question: What is the legal name of the pipeline operator to whom this Notice is
  accuracy=0.92 (46/50)  avg_in=105898  avg_lat=15.3s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   '3-2022-062-NOPV'  in=113896  lat=11.6s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'NOT_FOUND'  in=144960  lat=19.6s
  ✗ 32023002NOPV_PCP PCO_01182023_(21-202836)               '3-2023-002-NOPV'  in=100234  lat=13.7s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               '3-2023-005-NOPV'  in=145134  lat=15.2s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'CPF 3-2023-006-NOPV'  in=44742  lat=9.0s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '3-2023-008-NOPV'  in=145428  lat=15.2s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'CPF 3-2023-011-NOPV'  in=113937  lat=12.3s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               '3-2023-014-NOPV'  in=90831  lat=14.4s
  ✗ 32023016NOPV_PCP PCO_09082023_(22-238055)               '3-2023-016-NOPV'  in=58025  lat=9.0s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               '3-2023-020-NOPV'  in=113837  lat=12.8s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               '3-2023-021-NOPV'  in=152597  lat=18.8s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '3-2023-022-NOPV'  in=101080  lat=12.1s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'CPF 3-2023-026-NOPV'  in=80969  lat=15.9s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'CPF 3-2023-033-NOPV'  in=58120  lat=8.9s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '3-2024-001-NOPV'  in=113793  lat=15.2s
  ✗ 32024004NOPV_PCP PCO_03012024_(22-240209)               '3-2024-004-NOPV'  in=100672  lat=12.0s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'CPF 3-2024-007-NOPV'  in=114709  lat=15.3s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '3-2024-008-NOPV'  in=96006  lat=12.7s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   '3-2024-011-NOPV'  in=113985  lat=10.7s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'CPF 3-2024-012-NOPV'  in=114426  lat=11.2s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '3-2024-016-NOPV'  in=114617  lat=12.7s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '3-2024-019-NOPV'  in=100809  lat=12.5s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               '3-2024-020-NOPV'  in=86876  lat=10.1s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '3-2024-022-NOPV'  in=114344  lat=11.2s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   '3-2024-028-NOPV'  in=58910  lat=10.8s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   'NOT_FOUND'  in=423448  lat=42.2s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '3-2024-035-NOPV'  in=44606  lat=12.1s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'CPF 3-2024-036-NOPV'  in=406454  lat=46.1s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'CPF 3-2024-038-NOPV'  in=59343  lat=6.7s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               '3-2024-040-NOPV'  in=88181  lat=10.7s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'CPF 3-2024-042-NOPV'  in=114072  lat=12.4s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'CPF 3-2024-044-NOPV'  in=58980  lat=7.3s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               '3-2024-045-NOPV'  in=114001  lat=11.7s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '3-2024-049-NOPV'  in=100246  lat=10.6s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '3-2024-050-NOPV'  in=114329  lat=18.1s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '3-2024-052-NOPV'  in=59162  lat=6.8s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '3-2024-053-NOPV'  in=87143  lat=11.7s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'CPF 3-2024-054-NOPV'  in=70885  lat=12.3s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               '3-2024-056-NOPV'  in=114052  lat=11.0s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'CPF 3-2024-058-NOPV'  in=58323  lat=8.0s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               '3-2024-062-NOPV'  in=114281  lat=11.5s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'CPF 3-2024-066-NOPV'  in=100293  lat=10.9s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'CPF 3-2024-069-NOPV'  in=58440  lat=7.6s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'CPF 3-2024-071-NOPV'  in=113990  lat=11.2s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               'NOT_FOUND'  in=498978  lat=53.6s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '3-2025-004-NOPV'  in=113848  lat=12.9s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '3-2025-006-NOPV'  in=114007  lat=13.2s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'CPF 3-2025-007-NOPV'  in=58151  lat=7.7s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               '3-2025-008-NOPV'  in=84774  lat=9.8s
  ✗ 32025022NOPV_PCO_07182025_(24-297198)                   '3-2025-022-NOPV'  in=99911  lat=10.9s

Question: What is the CPF case number assigned to this enforcement action?
  accuracy=0.84 (42/50)  avg_in=117257  avg_lat=14.0s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Central Region'  in=58201  lat=7.6s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   'Central'  in=100692  lat=13.6s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Central'  in=115276  lat=14.8s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'Central Region'  in=95754  lat=14.1s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Central Region'  in=58317  lat=7.0s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Central Region'  in=93493  lat=12.4s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Central'  in=78227  lat=13.6s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Central Region'  in=115247  lat=13.3s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Central Region'  in=114606  lat=15.1s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Central Region'  in=94026  lat=13.0s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Central Region'  in=94706  lat=11.4s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Central'  in=95534  lat=13.8s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Central Region'  in=101175  lat=13.2s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Central Region'  in=87171  lat=9.9s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'Central Region'  in=114648  lat=13.9s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'Central Region'  in=91141  lat=13.9s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'Central Region'  in=58707  lat=7.3s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'Central Region'  in=117300  lat=17.1s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Central Region'  in=58599  lat=7.8s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Central Region'  in=105769  lat=11.2s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Central'  in=57489  lat=7.0s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'Central'  in=86354  lat=10.7s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'Central Region'  in=96700  lat=11.9s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'Central'  in=115060  lat=13.1s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Central'  in=115409  lat=10.8s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   'Central Region'  in=244183  lat=26.0s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'Central Region'  in=114531  lat=12.5s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               'Central'  in=114582  lat=13.1s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Central Region'  in=59359  lat=7.8s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Central Region'  in=115645  lat=12.0s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'Central Region'  in=87011  lat=9.1s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Central Region'  in=59020  lat=7.1s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Central Region'  in=115392  lat=12.4s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Central'  in=59109  lat=7.0s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'Central Region'  in=59124  lat=6.8s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Central'  in=92155  lat=11.2s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Central Region'  in=100291  lat=11.2s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'Central'  in=58250  lat=8.2s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Central Region'  in=91992  lat=11.7s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'Central Region'  in=100126  lat=18.8s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Central'  in=114440  lat=9.6s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Central Region'  in=58957  lat=10.9s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Central'  in=59121  lat=9.4s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Central Region'  in=58468  lat=7.4s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Central'  in=80509  lat=15.2s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Central Region'  in=115632  lat=12.1s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'Central Region'  in=97443  lat=12.0s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Central Region'  in=92316  lat=12.8s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Central Region'  in=125672  lat=14.2s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'Central'  in=134457  lat=16.8s

Question: Which PHMSA Region office (e.g., Eastern, Southern, Central, Western, 
  accuracy=1.00 (50/50)  avg_in=94548  avg_lat=11.9s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'September 14, 2022'  in=57895  lat=9.4s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'NOT_FOUND'  in=296906  lat=38.0s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'January 18, 2023'  in=115360  lat=12.4s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'January 25, 2023'  in=57481  lat=7.0s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'May 4, 2023'  in=58469  lat=7.0s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'June 2, 2023'  in=114690  lat=11.6s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'September 12, 2023'  in=113923  lat=12.3s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'July 27, 2023'  in=85863  lat=11.3s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'September 8, 2023'  in=86060  lat=10.0s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'August 11, 2023'  in=114092  lat=14.9s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'September 18, 2023'  in=146769  lat=14.9s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'August 24, 2023'  in=115218  lat=16.5s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'September 8, 2023'  in=115014  lat=13.2s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'November 27, 2023'  in=114328  lat=12.4s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'December 19, 2024'  in=114793  lat=10.2s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'March 1, 2024'  in=115712  lat=11.7s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'January 18, 2024'  in=114465  lat=12.7s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'October 25, 2024'  in=87181  lat=15.9s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'February 6, 2024'  in=144988  lat=14.4s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '2024.02.06'  in=113870  lat=11.6s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'February 13, 2024'  in=115072  lat=15.0s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'March 4, 2024'  in=85840  lat=9.3s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'June 13, 2024'  in=76521  lat=10.7s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'May 8, 2024'  in=113993  lat=11.4s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'December 30, 2024'  in=58870  lat=7.3s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   'NOT_FOUND'  in=290158  lat=28.4s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'April 15, 2024'  in=57748  lat=6.6s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               '06/28/2024'  in=303065  lat=39.6s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'May 31, 2024'  in=86484  lat=9.6s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               '2024.09.06'  in=114567  lat=14.8s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'June 3, 2024'  in=115308  lat=10.4s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'April 18, 2024'  in=114483  lat=10.6s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'May 10, 2024'  in=58108  lat=7.2s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'July 2, 2024'  in=58120  lat=7.6s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'August 28, 2024'  in=131492  lat=14.3s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'July 3, 2024'  in=148182  lat=15.7s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'December 12, 2024'  in=114616  lat=10.7s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'August 23, 2024'  in=115765  lat=12.9s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'October 25, 2024'  in=175933  lat=23.4s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'December 4, 2024'  in=115282  lat=12.9s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'November 21, 2024'  in=85877  lat=9.5s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'August 22, 2024'  in=145817  lat=16.8s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'November 14, 2024'  in=116951  lat=12.1s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'November 14, 2024'  in=58292  lat=9.2s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               'NOT_FOUND'  in=471475  lat=55.0s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'May 5, 2025'  in=57295  lat=7.1s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'August 18, 2025'  in=114950  lat=11.0s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'June 25, 2025'  in=75464  lat=11.8s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'June 16, 2025'  in=57827  lat=6.6s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'July 18, 2025'  in=131419  lat=15.9s

Question: On what date was this Notice of Probable Violation issued?
  accuracy=0.92 (46/50)  avg_in=120961  avg_lat=14.0s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'June 7 through September 20, 2021'  in=58070  lat=7.7s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'NOT_FOUND'  in=117329  lat=14.3s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'February 26 to February 28, 2021'  in=44434  lat=9.3s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'September 12-16, 2022'  in=74184  lat=10.6s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'From February 2022 to August 2022'  in=87411  lat=9.0s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'August 23, 2021 to October 4, 2021'  in=58253  lat=8.1s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'March 14 through August 12, 2022'  in=58714  lat=9.7s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'September 19 to September 23, 2022'  in=101536  lat=11.7s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'October 3 to November 4, 2022'  in=59035  lat=7.6s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'April 4 to July 29, 2022'  in=58658  lat=8.1s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'August 30 to September 1, 2022'  in=58793  lat=8.8s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'February 7, 2022, to October 14, 2022'  in=58544  lat=7.3s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'June 27 to August 25, 2022'  in=88330  lat=11.4s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'March 28 through September 23, 2022'  in=115098  lat=11.8s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'May 20, 2024 through October 18, 2024'  in=57568  lat=12.2s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'August 15 to September 28, 2022'  in=115609  lat=12.1s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'March 28 through September 23, 2022'  in=58692  lat=7.1s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'February 28, 2022, through June 15, 2023'  in=178607  lat=20.7s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'April 10 through May 4, 2023'  in=58595  lat=7.9s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'April 10 through May 4, 2023'  in=115584  lat=11.5s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'February 14 to July 27, 2023'  in=57482  lat=9.1s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'April 25 through May 27, 2022'  in=86409  lat=9.9s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'March 29 to January 11, 2023'  in=131582  lat=15.5s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'June 5 to June 9, 2023'  in=59401  lat=7.4s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'April 18, 2022 through December 14, 2022'  in=101321  lat=12.7s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   'NOT_FOUND'  in=121041  lat=30.2s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'May 22 to June 8, 2023'  in=114972  lat=13.3s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'NOT_FOUND'  in=226787  lat=28.5s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'September 12 through November 30, 2022'  in=116210  lat=18.2s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'February 2, 2023, to January 25, 2024'  in=59077  lat=11.3s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'July 26 to September 14, 2023'  in=58194  lat=7.4s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'August 28 to August 31, 2023'  in=58967  lat=10.1s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'September 18 to September 28, 2023'  in=59439  lat=7.3s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'May 15 to May 19, 2023'  in=45502  lat=12.8s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'April 3 through November 8, 2023'  in=45402  lat=7.7s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'March 6 to March 8, 2023'  in=59208  lat=8.4s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'July 18 through August 12, 2022'  in=58442  lat=9.0s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'February 2, 2023, to January 25, 2024'  in=116533  lat=13.4s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'February 13 to July 27, 2023'  in=116023  lat=16.6s
