baseline=agentic_codex_qa_txt  model=gpt54mini  questions=12  docs=50
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'Colonial Pipeline Company'  in=56215  lat=5.1s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Spire Missouri Inc. East'  in=107029  lat=13.3s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Navajo Nation Oil and Gas'  in=43938  lat=11.9s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'Tallgrass Energy, LP'  in=41809  lat=5.7s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Southern Star Central Gas Pipeline, Inc.'  in=42716  lat=4.9s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'DTE Midstream Appalachia, LLC'  in=56155  lat=5.3s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Magellan Midstream Partners, LP'  in=111748  lat=12.3s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Gulf South Pipeline Company, LLC'  in=82608  lat=8.4s
  ✗ 32022055NOPV_PCO_11082022_(21-209703)                   'Bayou Midstream'  in=87787  lat=9.7s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'NST Express, LLC'  in=78799  lat=12.8s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Coffeyville Resources Crude Transportation, LLC'  in=44132  lat=9.5s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'Algonquin Gas Transmission, LLC'  in=92847  lat=10.1s

Question: What is the legal name of the pipeline operator to whom this Notice is
  accuracy=0.98 (49/50)  avg_in=73961  avg_lat=10.4s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'CPF 1-2022-023-NOPV'  in=43276  lat=6.3s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'CPF 1-2023-047-NOPV'  in=68969  lat=8.8s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'CPF 1-2024-018-NOPV'  in=68939  lat=6.7s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'CPF 1-2024-039-NOPV'  in=57647  lat=5.0s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'CPF 1-2024-051-NOPV'  in=56661  lat=5.6s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'CPF 1-2025-001-NOPV'  in=69138  lat=7.1s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'CPF 1-2025-006-NOPV'  in=56550  lat=9.5s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'CPF 1-2026-002-NOPV'  in=55979  lat=5.1s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'CPF 1-2026-003-NOPV'  in=57461  lat=5.2s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'CPF 1-2026-012-NOPV'  in=82120  lat=8.4s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'CPF 1-2026-015-NOPV'  in=43748  lat=5.8s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'CPF 1-2026-022-NOPV'  in=42953  lat=4.8s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'CPF 1-2026-032-NOPV'  in=43388  lat=6.2s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'CPF 2-2023-002-NOPV'  in=43300  lat=5.4s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'CPF 2-2023-011-NOPV'  in=91215  lat=12.8s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'CPF 2-2023-013-NOPV'  in=97604  lat=11.2s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'CPF 2-2024-001-NOPV'  in=43938  lat=9.9s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'CPF 2-2024-011-NOPV'  in=72247  lat=9.5s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'CPF 3-2021-028-NOPV'  in=82094  lat=6.9s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'CPF 3-2021-043-NOPV'  in=55334  lat=5.4s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'CPF 3-2021-045-NOPV'  in=43785  lat=4.8s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               '3-2021-046-NOPV'  in=68895  lat=8.7s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'CPF 3-2021-051-NOPV'  in=87957  lat=10.3s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'CPF 3-2021-059-NOPV'  in=82093  lat=7.0s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'CPF 3-2021-070-NOPV'  in=44032  lat=5.6s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'CPF 3-2021-073-NOPV'  in=57191  lat=5.6s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'CPF 3-2021-080-NOPV'  in=110897  lat=11.6s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'CPF 3-2021-082-NOPV'  in=56442  lat=8.3s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'CPF 3-2021-087-NOPV'  in=56672  lat=8.9s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'CPF 3-2021-088-NOPV'  in=82000  lat=6.8s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'CPF 3-2021-089-NOPV'  in=56874  lat=5.8s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'CPF 3-2022-001-NOPV'  in=43172  lat=5.3s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '3-2022-006-NOPV'  in=110771  lat=11.0s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'CPF 3-2022-016-NOPV'  in=56482  lat=7.3s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'CPF 3-2022-017-NOPV'  in=97526  lat=8.5s
  ✗ 32022018NOPV_PCP PCO_01192022_(21-210993)               '3-2022-018'  in=110725  lat=13.6s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'CPF 3-2022-024-NOPV'  in=82040  lat=6.4s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'CPF 3-2022-025-NOPV'  in=43496  lat=7.4s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'CPF 3-2022-026-NOPV'  in=68858  lat=8.6s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'CPF 3-2022-033-NOPV'  in=97771  lat=10.1s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'CPF 3-2022-037-NOPV'  in=82058  lat=7.6s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'CPF 3-2022-040-NOPV'  in=97763  lat=12.8s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'CPF 3-2022-045-NOPV'  in=110800  lat=11.8s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'CPF 3-2022-047-NOPV'  in=68847  lat=7.2s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'CPF 3-2022-052-NOPV'  in=97492  lat=11.8s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'CPF 3-2022-053-NOPV'  in=56704  lat=6.6s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'CPF 3-2022-055-NOPV'  in=42948  lat=5.8s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'CPF 3-2022-056-NOPV'  in=82001  lat=8.4s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'CPF 3-2022-058-NOPV'  in=93329  lat=10.2s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'CPF 3-2022-061-NOPV'  in=83546  lat=7.2s

Question: What is the CPF case number assigned to this enforcement action?
  accuracy=0.98 (49/50)  avg_in=70115  avg_lat=7.9s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Eastern'  in=57175  lat=4.8s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'Eastern'  in=93313  lat=7.4s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'Eastern'  in=88432  lat=9.0s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'Eastern Region'  in=95678  lat=9.3s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'Eastern Region'  in=110327  lat=12.7s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Eastern Region'  in=97995  lat=11.3s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'Eastern Region'  in=111070  lat=8.7s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'Eastern Region'  in=97079  lat=9.4s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Eastern Region'  in=111059  lat=9.7s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'Eastern Region'  in=57110  lat=5.1s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Eastern Region'  in=111493  lat=12.7s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'Eastern'  in=110351  lat=11.2s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'Eastern'  in=56630  lat=5.3s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'Southern'  in=56538  lat=8.7s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'Southern Region'  in=97352  lat=10.3s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Southern Region'  in=86975  lat=7.6s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'Southern'  in=93043  lat=7.6s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'Southern Region'  in=80742  lat=9.8s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'Central Region'  in=142295  lat=15.1s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Central Region'  in=72808  lat=8.9s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Central Region'  in=56990  lat=5.1s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Central'  in=128442  lat=12.6s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'Central Region'  in=87171  lat=7.3s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'Central'  in=112087  lat=11.0s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'Central Region'  in=87682  lat=7.4s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Central Region'  in=57250  lat=6.0s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'Central'  in=87076  lat=8.2s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'Central'  in=87190  lat=8.1s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Central Region'  in=87854  lat=7.0s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Central Region'  in=42975  lat=5.2s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Central Region'  in=43720  lat=5.1s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'Central Region'  in=56410  lat=6.2s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'Central'  in=92042  lat=7.1s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'Central'  in=97520  lat=8.1s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Central Region'  in=134026  lat=18.3s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Central Region'  in=75570  lat=9.3s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Central Region'  in=55895  lat=5.8s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'Central'  in=88578  lat=8.0s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'Central Region'  in=112036  lat=9.4s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Central Region'  in=87651  lat=8.1s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Central Region'  in=43984  lat=6.6s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'Central Region'  in=110678  lat=9.2s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Central Region'  in=43996  lat=9.0s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'Central'  in=114384  lat=10.0s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Central'  in=92360  lat=8.1s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Central'  in=119087  lat=10.1s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'Central Region'  in=98126  lat=8.6s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'Central Region'  in=87484  lat=15.3s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Central Region'  in=144201  lat=13.4s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'Central Region'  in=75470  lat=16.9s

Question: Which PHMSA Region office (e.g., Eastern, Southern, Central, Western, 
  accuracy=1.00 (50/50)  avg_in=88708  avg_lat=9.1s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'March 31, 2022'  in=111098  lat=14.4s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'December 4, 2023'  in=69756  lat=7.2s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'August 26, 2024'  in=56150  lat=4.8s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'November 6, 2024'  in=56095  lat=4.8s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'July 5, 2024'  in=110864  lat=8.8s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'May 30, 2025'  in=55429  lat=5.5s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'May 8, 2025'  in=70410  lat=7.4s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'January 23, 2026'  in=42991  lat=5.3s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'February 13, 2026'  in=83651  lat=7.5s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'February 6, 2026'  in=55463  lat=4.7s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'February 12, 2026'  in=55541  lat=4.7s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'February 24, 2026'  in=83651  lat=7.1s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'February 13, 2026'  in=112166  lat=8.4s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'July 28, 2023'  in=56055  lat=4.9s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'July 28, 2023'  in=55769  lat=5.3s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'November 16, 2023'  in=98271  lat=8.9s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'June 27, 2024'  in=82967  lat=6.9s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'July 9, 2024'  in=57620  lat=7.3s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'November 2, 2021'  in=70132  lat=13.9s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'December 7, 2021'  in=111163  lat=8.9s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'November 5, 2021'  in=42144  lat=6.5s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'November 23, 2021'  in=55916  lat=5.1s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'November 10, 2021'  in=87329  lat=7.1s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'December 30, 2021'  in=82952  lat=8.8s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'December 30, 2021'  in=55814  lat=5.5s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'December 22, 2021'  in=110830  lat=11.4s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'December 22, 2021'  in=83153  lat=9.8s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'December 1, 2021'  in=55534  lat=5.1s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'December 13, 2021'  in=55856  lat=6.6s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'November 30, 2021'  in=97620  lat=11.7s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'November 30, 2021'  in=55649  lat=4.8s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'August 8, 2022'  in=56034  lat=6.8s
  ✗ 32022006NOPV_PCP PCO_04182022_(21-200783)               'April 18, 2022'  in=97716  lat=8.6s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'January 7, 2022'  in=42821  lat=5.3s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'January 11, 2022'  in=42736  lat=12.6s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'January 19, 2022'  in=56003  lat=6.5s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'March 25, 2022'  in=55868  lat=5.5s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'October 14, 2022'  in=56055  lat=4.9s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'May 5, 2022'  in=83780  lat=6.6s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'March 17, 2022'  in=83228  lat=6.6s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'March 1, 2022'  in=111209  lat=10.0s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '2022.02.17'  in=110131  lat=10.3s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'April 28, 2022'  in=83480  lat=7.0s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'May 12, 2022'  in=42942  lat=8.2s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'November 10, 2022'  in=55670  lat=7.4s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'August 22, 2022'  in=55595  lat=5.0s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'November 8, 2022'  in=69770  lat=7.1s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'November 8, 2022'  in=55646  lat=5.7s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'September 14, 2022'  in=111507  lat=9.0s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'December 22, 2022'  in=111860  lat=17.7s

Question: On what date was this Notice of Probable Violation issued?
  accuracy=0.98 (49/50)  avg_in=73202  avg_lat=7.6s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'November 16, 2020 to November 20, 2020'  in=57128  lat=5.4s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'March 14 to November 3, 2022'  in=57492  lat=5.7s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'April 21, 2023 to November 16, 2023'  in=98445  lat=10.2s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'October 31, 2022 through March 27, 2023'  in=57634  lat=5.4s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'January 30 to January 31, 2024'  in=112518  lat=8.3s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'July 10, 2023, to January 18, 2024'  in=100120  lat=9.5s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'May 10, 2023'  in=56544  lat=5.8s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'April 1 to July 22, 2024'  in=56541  lat=4.9s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'June 4 through December 3, 2024'  in=57445  lat=9.0s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'From February 24 through April 2, 2025'  in=97789  lat=9.2s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'May 12, 2024 through December 15, 2024'  in=56934  lat=5.5s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'August 12 through 14, 2025'  in=56692  lat=5.4s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'August 12 through August 13, 2025'  in=111121  lat=10.1s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'July 19 to July 23, 2021'  in=56497  lat=5.5s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'November 1 to November 4, 2021'  in=57775  lat=6.9s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'September 27-30, 2021, and November 1-5, 2021'  in=112430  lat=12.1s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'February 24, 2024, to April 12, 2024'  in=111494  lat=8.8s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'February 14, 2022 to February 17, 2023'  in=44433  lat=14.4s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'February 10, 2020 through September 11, 2020'  in=56909  lat=5.4s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'February 6 through November 19, 2020'  in=42610  lat=5.1s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'August 2, 2020, to October 25, 2020'  in=56964  lat=5.5s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'August 2, 2020, to October 23, 2020'  in=112806  lat=10.3s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'January 26, March 10-12, March 29-31, April 6, and April 21-22, 2021'  in=56096  lat=5.0s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'March 18, April 8, May 18-20, and May 27, 2021'  in=43170  lat=7.0s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'March 23, April 26-29, May 10-12, and June 8-10, 2021'  in=57205  lat=5.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'February 5, 2020 through February 9, 2021'  in=57196  lat=4.8s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'February 10, March 8-9, March 19, April 12-13, and August 31, 2021'  in=56848  lat=6.5s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'November 23 and 24, 2020'  in=97881  lat=8.8s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'May 10 through August 13, 2021'  in=43519  lat=6.8s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'May 10 through August 13, 2021'  in=56107  lat=7.7s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'May 10 through August 13, 2021'  in=56896  lat=5.0s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'April 27 through 30, 2021'  in=43199  lat=7.9s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'April 21, 2021 through May 27, 2021'  in=57297  lat=5.3s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'From July 19 to September 17, 2020'  in=43347  lat=6.5s
