baseline=agentic_codex_qa_txt  model=gpt54  questions=12  docs=50
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'DTE Midstream Appalachia, LLC'  in=44442  lat=9.6s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Magellan Midstream Partners, LP'  in=130584  lat=19.5s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Gulf South Pipeline Company, LLC'  in=121462  lat=15.9s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'NST Transload Operating Company, LLC'  in=111092  lat=33.3s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'NST Express, LLC'  in=123301  lat=14.5s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Coffeyville Resources Crude Transportation, LLC'  in=44283  lat=8.8s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'Algonquin Gas Transmission, LLC'  in=91542  lat=18.1s

Question: What is the legal name of the pipeline operator to whom this Notice is
  accuracy=1.00 (50/50)  avg_in=99712  avg_lat=14.8s

  ✗ 12022023NOPV_PCO_03312022_(20-194651)                   '1-2022-023-NOPV'  in=101194  lat=12.3s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   '1-2023-047-NOPV'  in=100329  lat=13.9s
  ✗ 12024018NOPV_PCO_08262024_(23-263980)                   '1-2024-018-NOPV'  in=100099  lat=11.2s
  ✗ 12024039NOPV_PCO_11062024_(23-276594)                   '1-2024-039-NOPV'  in=81309  lat=10.2s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'CPF 1-2024-051-NOPV'  in=58457  lat=11.8s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'CPF 1-2025-001-NOPV'  in=120132  lat=16.4s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'CPF 1-2025-006-NOPV'  in=58326  lat=7.1s
  ✗ 12026002NOPV_PCO_01232026_(24-295891)                   '1-2026-002-NOPV'  in=114014  lat=10.6s
  ✗ 12026003NOPV_PCO_02132026_(24-309719)                   '1-2026-003-NOPV'  in=114760  lat=13.2s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   '1-2026-012-NOPV'  in=101113  lat=12.1s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   '1-2026-015-NOPV'  in=101009  lat=15.1s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '1-2026-022-NOPV'  in=86752  lat=10.1s
  ✗ 12026032NOPV_PCO_02132026_ (25-330095)                  '1-2026-032-NOPV'  in=114696  lat=15.1s
  ✗ 22023002NOPV_PCO_07282023_(21-202409)                   '2-2023-002-NOPV'  in=113634  lat=11.4s
  ✗ 22023011NOPV_PCO_07282023_(21-202560)                   '2-2023-011-NOPV'  in=57554  lat=7.5s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'CPF 2-2023-013-NOPV'  in=114628  lat=12.0s
  ✗ 22024001NOPV_PCP PCO_06272024_(24-304023)               '2-2024-001-NOPV'  in=100242  lat=14.1s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'CPF 2-2024-011-NOPV'  in=44575  lat=10.5s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'CPF 3-2021-028-NOPV'  in=58719  lat=8.3s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               '3-2021-043-NOPV'  in=88522  lat=11.3s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'CPF 3-2021-045-NOPV'  in=114251  lat=12.6s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               '3-2021-046-NOPV'  in=114525  lat=15.5s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'CPF 3-2021-051-NOPV'  in=72543  lat=12.3s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               '3-2021-059-NOPV'  in=91028  lat=10.6s
  ✗ 32021070NOPV_PCP PCO_12302021_(21-199716)               '3-2021-070-NOPV'  in=101330  lat=15.9s
  ✗ 32021073NOPV_PCP PCO_12222021_(20-173072)               '3-2021-073-NOPV'  in=114594  lat=15.2s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               '3-2021-080-NOPV'  in=100668  lat=16.2s
  ✗ 32021082NOPV_PCO_12012021_(20-172259)                   '3-2021-082-NOPV'  in=100543  lat=13.3s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'CPF 3-2021-087-NOPV'  in=57636  lat=7.4s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'CPF 3-2021-088-NOPV'  in=57966  lat=8.9s
  ✗ 32021089NOPV_PCP PCO_11302021_(21-210502)               '3-2021-089-NOPV'  in=114949  lat=13.4s
  ✗ 32022001NOPV_PCP PCO_08082022_(21-208610)               '3-2022-001-NOPV'  in=58100  lat=7.5s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '3-2022-006-NOPV'  in=87751  lat=9.8s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'CPF 3-2022-016-NOPV'  in=113958  lat=12.3s
  ✗ 32022017NOPV_PCP PCO_01112022_(21-210504)               '3-2022-017-NOPV'  in=114281  lat=14.1s
  ✗ 32022018NOPV_PCP PCO_01192022_(21-210993)               '3-2022-018'  in=145700  lat=19.4s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '3-2022-024-NOPV'  in=85119  lat=10.7s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '3-2022-025-NOPV'  in=114236  lat=16.8s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'CPF 3-2022-026-NOPV'  in=46010  lat=10.1s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'CPF 3-2022-033-NOPV'  in=58738  lat=10.8s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'CPF 3-2022-037-NOPV'  in=58867  lat=14.5s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '3-2022-040-NOPV'  in=75337  lat=10.6s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '3-2022-045-NOPV'  in=84558  lat=10.3s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               '3-2022-047-NOPV'  in=95344  lat=15.3s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '3-2022-052-NOPV'  in=58843  lat=8.1s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '3-2022-053-NOPV'  in=86102  lat=11.1s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'CPF 3-2022-055-NOPV'  in=44199  lat=7.7s
  ✗ 32022056NOPV_PCP PCO_11082022_(21-209703)               '3-2022-056-NOPV'  in=113848  lat=13.3s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '3-2022-058-NOPV'  in=114456  lat=14.7s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '3-2022-061-NOPV'  in=45431  lat=7.8s

Question: What is the CPF case number assigned to this enforcement action?
  accuracy=0.66 (33/50)  avg_in=89420  avg_lat=12.0s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Eastern Region'  in=45453  lat=10.0s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'Eastern'  in=102034  lat=12.1s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'Eastern'  in=58084  lat=7.4s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'Eastern Region'  in=115443  lat=16.6s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'Eastern Region'  in=101757  lat=12.6s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Eastern Region'  in=59843  lat=7.6s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'Eastern Region'  in=114500  lat=16.4s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'Eastern'  in=87114  lat=9.7s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Eastern Region'  in=114988  lat=13.1s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'Eastern Region'  in=88341  lat=13.1s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Eastern Region'  in=115413  lat=15.4s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'Eastern'  in=100359  lat=15.3s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'Eastern'  in=58381  lat=7.5s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'Southern'  in=86751  lat=9.9s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'Southern Region'  in=114232  lat=18.1s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Southern'  in=96005  lat=11.5s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'Southern Region'  in=115748  lat=11.1s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'Southern Region'  in=97287  lat=13.2s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'Central'  in=92284  lat=12.7s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Central'  in=124376  lat=15.3s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Central Region'  in=115456  lat=18.9s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Central Region'  in=95587  lat=12.1s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'Central Region'  in=91553  lat=10.5s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'Central Region'  in=101379  lat=11.6s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'Central Region'  in=120479  lat=13.2s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Central'  in=45271  lat=11.2s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'Central'  in=100076  lat=11.2s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'Central Region'  in=58229  lat=10.6s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Central'  in=101303  lat=11.7s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Central'  in=44027  lat=7.4s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Central Region'  in=107524  lat=14.5s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'Central'  in=44425  lat=7.6s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'Central Region'  in=94855  lat=13.0s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'Central'  in=87451  lat=11.0s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Central'  in=95890  lat=14.3s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Central Region'  in=96990  lat=14.9s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Central Region'  in=57794  lat=9.7s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'Central'  in=77559  lat=12.1s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'Central Region'  in=83753  lat=11.8s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Central Region'  in=74091  lat=13.2s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Central Region'  in=87888  lat=9.3s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'Central Region'  in=77192  lat=11.6s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Central Region'  in=45310  lat=8.6s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'Central'  in=92389  lat=12.3s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Central Region'  in=95411  lat=12.5s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Central Region'  in=114896  lat=12.3s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'Central Region'  in=114928  lat=17.2s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'Central Region'  in=80400  lat=13.6s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Central Region'  in=95698  lat=13.6s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'Central Region'  in=124281  lat=15.0s

Question: Which PHMSA Region office (e.g., Eastern, Southern, Central, Western, 
  accuracy=1.00 (50/50)  avg_in=90210  avg_lat=12.3s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'March 31, 2022'  in=89305  lat=11.0s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'December 4, 2023'  in=114721  lat=13.3s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'August 26, 2024'  in=57926  lat=6.6s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'November 6, 2024'  in=90438  lat=11.3s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'July 5, 2024'  in=131063  lat=14.3s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'May 30, 2025'  in=58407  lat=7.5s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'May 8, 2025'  in=44195  lat=9.4s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'January 23, 2026'  in=57926  lat=8.2s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'February 13, 2026'  in=114880  lat=12.3s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'February 6, 2026'  in=85886  lat=10.9s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'February 12, 2026'  in=131138  lat=14.7s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'February 24, 2026'  in=113912  lat=10.6s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'February 13, 2026'  in=57980  lat=6.7s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'July 28, 2023'  in=113895  lat=16.6s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'July 28, 2023'  in=115270  lat=12.5s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'November 16, 2023'  in=115781  lat=14.0s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'June 27, 2024'  in=88182  lat=10.2s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'July 9, 2024'  in=101079  lat=14.9s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'November 2, 2021'  in=86201  lat=10.2s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'December 7, 2021'  in=114734  lat=10.6s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'November 5, 2021'  in=107008  lat=19.1s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'November 23, 2021'  in=72655  lat=10.3s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'November 10, 2021'  in=72357  lat=9.5s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'December 30, 2021'  in=57087  lat=7.9s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'December 30, 2021'  in=85733  lat=9.5s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'December 22, 2021'  in=57679  lat=7.2s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'December 22, 2021'  in=43716  lat=8.3s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'December 1, 2021'  in=86420  lat=14.4s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'December 13, 2021'  in=102594  lat=11.9s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'November 30, 2021'  in=57729  lat=7.7s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'November 30, 2021'  in=43529  lat=10.1s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'August 8, 2022'  in=44067  lat=7.7s
  ✗ 32022006NOPV_PCP PCO_04182022_(21-200783)               'April 18, 2022'  in=91616  lat=12.6s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'January 7, 2022'  in=114378  lat=12.9s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'January 11, 2022'  in=100550  lat=15.1s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'January 19, 2022'  in=57601  lat=7.5s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'March 25, 2022'  in=114278  lat=12.0s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'October 14, 2022'  in=72752  lat=9.9s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'May 5, 2022'  in=101699  lat=12.8s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'March 17, 2022'  in=174852  lat=18.2s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'March 1, 2022'  in=113640  lat=11.5s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'February 17, 2022'  in=57290  lat=8.0s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'April 28, 2022'  in=43939  lat=8.6s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'May 12, 2022'  in=114733  lat=10.6s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'November 10, 2022'  in=118327  lat=13.6s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'August 22, 2022'  in=72082  lat=10.9s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'November 8, 2022'  in=57435  lat=7.0s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'November 8, 2022'  in=43551  lat=7.3s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'September 14, 2022'  in=114362  lat=11.5s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'December 22, 2022'  in=57854  lat=8.1s

Question: On what date was this Notice of Probable Violation issued?
  accuracy=0.98 (49/50)  avg_in=86689  avg_lat=11.0s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'November 16, 2020 to November 20, 2020'  in=58888  lat=8.1s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'March 14 to November 3, 2022'  in=95400  lat=12.4s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'April 21, 2023 to November 16, 2023'  in=58438  lat=9.3s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'October 31, 2022 through March 27, 2023'  in=45734  lat=8.7s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'January 30 to January 31, 2024'  in=115232  lat=15.2s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'July 10, 2023, to January 18, 2024'  in=59899  lat=12.1s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'May 10, 2023'  in=58355  lat=7.9s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'April 1 to July 22, 2024'  in=115001  lat=11.4s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'June 4 through December 3, 2024'  in=116193  lat=14.9s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'February 24 through April 2, 2025'  in=59119  lat=9.4s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'May 12, 2024 through December 15, 2024'  in=58730  lat=8.1s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'August 12 through 14, 2025'  in=45012  lat=9.6s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'August 12 through August 13, 2025'  in=58424  lat=9.0s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'July 19 to July 23, 2021'  in=58334  lat=8.8s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'November 1 to November 4, 2021'  in=103644  lat=13.3s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'September 27-30, 2021, and November 1 and 5, 2021'  in=116449  lat=13.4s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'February 24, 2024, to April 12, 2024'  in=115440  lat=10.9s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'February 14, 2022 to February 17, 2023'  in=103848  lat=13.1s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'February 10, 2020 through September 11, 2020'  in=115958  lat=14.1s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'February 6 through November 19, 2020'  in=116586  lat=16.9s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'August 2, 2020, to October 25, 2020'  in=87800  lat=11.4s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'August 2, 2020, to October 23, 2020'  in=45325  lat=8.5s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'January 26, March 10-12, March 29-31, April 6, and April 21-22, 2021'  in=57913  lat=8.4s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'March 18, April 8, May 18-20, and May 27, 2021'  in=77442  lat=10.2s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'March 23, April 26 through 29, May 10 through 12, and June 8 through 10, 2021'  in=45562  lat=10.1s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'February 5, 2020 through February 9, 2021'  in=103769  lat=15.4s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'February 10, March 8-9, March 19, April 12-13, and August 31, 2021'  in=58628  lat=7.2s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'November 23 and 24, 2020'  in=115755  lat=13.3s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'May 10 through August 13, 2021'  in=58443  lat=8.4s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'May 10 through August 13, 2021'  in=114952  lat=16.3s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'May 10 through August 13, 2021'  in=102134  lat=13.8s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'April 27 through 30, 2021'  in=115318  lat=13.8s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'April 21, 2021 through May 27, 2021'  in=59095  lat=8.2s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'July 19 to September 17, 2020'  in=58328  lat=7.5s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'May 10 through August 13, 2021'  in=59042  lat=7.8s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'May 7-11, 2018 and December 4-6, 2018'  in=45556  lat=11.4s
