AZURE_OPENAI_API_KEY exported (84 chars) from /home/yiminglin/api_keys/azure_cloudbank/gpt-54_1.txt
baseline=agentic_codex_qa_gpt54_all  model=gpt54  split=all_docs
  ✓ BESTBUY_2021_10K: '1,253'
  ✓ BESTBUY_2022_10K: '1,216'
  ✓ BESTBUY_2023_10K: '1,160'
  ✓ BOEING_2017_10K: '9,782'
  ✓ BOEING_2018_10K: '10,657'
  ✓ BOEING_2019_10K: '19,962'
  ✓ BOEING_2020_10K: '61,890'
  ✓ BOEING_2022_10K: '51,811'
  ✓ CORNING_2022_10K: '6,687'
  ✓ COSTCO_2015_10K: '4,864'
  ✓ COSTCO_2016_10K: '4,061'
  ✓ COSTCO_2017_10K: '6,573'
  ✓ COSTCO_2018_10K: '6,487'
  ✓ EBAY_2021_10K: '7,727'
  ✗ FOOTLOCKER_2023_10K: '446'
  ✓ GENERALMILLS_2022_10K: '9,134.8'
  ✗ INTEL_2016_10K: '20,649'
  ✓ INTEL_2022_10K: '37,684'
  ✓ JOHNSON_JOHNSON_2022_10K: '26,888'
  ✓ KRAFTHEINZ_2021_10K: '21,061'
  ✗ LOCKHEEDMARTIN_2021_10K: '11,670'
  ✗ LOCKHEEDMARTIN_2022_10K: '15,429'
  ✗ NIKE_2019_10K: '(6)'
  ✓ NIKE_2021_10K: '9,413'

Question: What is long-term debt at year-end (0 if none)?
  accuracy=0.66 (39/59)  avg_in=13971  avg_out=127  avg_lat=1.8s

  ✓ ACTIVISIONBLIZZARD_2017_10K: '273'
  ✓ ACTIVISIONBLIZZARD_2020_10K: '2,197'
  ✗ ADOBE_2015_10K: '629,551'
  ✗ ADOBE_2016_10K: '1,168,782'
  ✗ ADOBE_2017_10K: '1,693,954'
  ✗ ADOBE_2018_10K: '2,590,774'
  ✗ ADOBE_2019_10K: '2,951,458'
  ✓ ADOBE_2020_10K: '5,260'
  ✓ ADOBE_2021_10K: '4,822'
  ✓ ADOBE_2022_10K: '4,756'
  ✓ AMAZON_2015_10K: '596'
  ✓ AMAZON_2016_10K: '2,371'
  ✓ AMAZON_2017_10K: '3,033'
  ✓ AMAZON_2018_10K: '10,073'
  ✓ AMAZON_2019_10K: '11,588'
  ✓ AMAZON_2020_10K: '21,331'
  ✓ AMAZON_2022_10K: '(2,722)'
  ✗ AMCOR_2019_10K: '430.2'
  ✓ AMCOR_2021_10K: '939'
  ✓ AMCOR_2022_10K: '805'
  ✗ AMCOR_2023_10K: '1,048'
  ✓ AMD_2019_10K: '341'
  ✓ AMD_2020_10K: '2,490'
  ✓ AMD_2021_10K: '3,162'
  ✓ AMD_2022_10K: '1,320'
  ✓ APPLE_2015_10K: '53,394'
  ✓ APPLE_2016_10K: '45,687'
  ✓ APPLE_2017_10K: '48,351'
  ✓ APPLE_2018_10K: '59,531'
  ✓ APPLE_2019_10K: '55,256'
  ✓ APPLE_2020_10K: '57,411'
  ✓ APPLE_2021_10K: '94,680'
  ✓ APPLE_2022_10K: '99,803'
  ✗ BESTBUY_2015_10K: '1,233'
  ✓ BESTBUY_2020_10K: '1,541'
  ✓ BESTBUY_2021_10K: '1,798'
  ✓ BESTBUY_2022_10K: '2,454'
  ✓ BESTBUY_2023_10K: '1,419'
  ✓ BOEING_2017_10K: '8,197'
  ✓ BOEING_2018_10K: '10,460'
  ✓ BOEING_2019_10K: '(636)'
  ✓ BOEING_2020_10K: '(11,941)'
  ✗ BOEING_2022_10K: '(4,935)'
  ✓ CORNING_2022_10K: '1,316'
  ✓ COSTCO_2015_10K: '2,377'
  ✓ COSTCO_2016_10K: '2,350'
  ✓ COSTCO_2017_10K: '2,679'
  ✓ COSTCO_2018_10K: '3,134'
  ✓ EBAY_2021_10K: '13,608'
  ✓ FOOTLOCKER_2023_10K: '342'
  ✓ GENERALMILLS_2022_10K: '2,707.3'
  ✓ INTEL_2016_10K: '10,316'
  ✗ INTEL_2022_10K: '8,014'
  ✓ JOHNSON_JOHNSON_2022_10K: '17,941'
  ✗ KRAFTHEINZ_2021_10K: '1,012'
  ✓ LOCKHEEDMARTIN_2021_10K: '6,315'
  ✓ LOCKHEEDMARTIN_2022_10K: '5,732'
  ✓ NIKE_2019_10K: '4,029'
  ✓ NIKE_2021_10K: '5,727'

Question: What is net income (loss) for the most recent fiscal year?
  accuracy=0.81 (48/59)  avg_in=13971  avg_out=127  avg_lat=1.8s

  ✗ ACTIVISIONBLIZZARD_2017_10K: '2,110'
  ✗ ACTIVISIONBLIZZARD_2020_10K: '2,350'
  ✗ ADOBE_2015_10K: '4,795,511'
  ✗ ADOBE_2016_10K: '5,854,430'
  ✗ ADOBE_2017_10K: '7,301,505'
  ✗ ADOBE_2018_10K: '9,030,008'
  ✗ ADOBE_2019_10K: '11,171,297'
  ✓ ADOBE_2020_10K: '12,868'
  ✓ ADOBE_2021_10K: '15,785'
  ✓ ADOBE_2022_10K: '17,606'
  ✓ AMAZON_2015_10K: '107,006'
  ✓ AMAZON_2016_10K: '135,987'
  ✓ AMAZON_2017_10K: '177,866'
  ✓ AMAZON_2018_10K: '232,887'
  ✓ AMAZON_2019_10K: '280,522'
  ✓ AMAZON_2020_10K: '386,064'
  ✓ AMAZON_2022_10K: '513,983'
  ✓ AMCOR_2019_10K: '9,458.2'
  ✓ AMCOR_2021_10K: '12,861'
  ✓ AMCOR_2022_10K: '14,544'
  ✓ AMCOR_2023_10K: '14,694'
  ✓ AMD_2019_10K: '6,731'
  ✓ AMD_2020_10K: '9,763'
  ✓ AMD_2021_10K: '16,434'
  ✓ AMD_2022_10K: '23,601'
  ✓ APPLE_2015_10K: '233,715'
  ✓ APPLE_2016_10K: '215,639'
  ✓ APPLE_2017_10K: '229,234'
  ✓ APPLE_2018_10K: '265,595'
  ✓ APPLE_2019_10K: '260,174'
  ✓ APPLE_2020_10K: '274,515'
  ✓ APPLE_2021_10K: '365,817'
  ✓ APPLE_2022_10K: '394,328'
  ✓ BESTBUY_2015_10K: '40,339'
  ✓ BESTBUY_2020_10K: '43,638'
  ✓ BESTBUY_2021_10K: '47,262'
  ✓ BESTBUY_2022_10K: '51,761'
  ✓ BESTBUY_2023_10K: '46,298'
  ✓ BOEING_2017_10K: '93,392'
  ✓ BOEING_2018_10K: '101,127'
  ✓ BOEING_2019_10K: '76,559'
  ✓ BOEING_2020_10K: '58,158'
  ✓ BOEING_2022_10K: '66,608'
  ✓ CORNING_2022_10K: '14,189'
  ✗ COSTCO_2015_10K: '116,199'
  ✗ COSTCO_2016_10K: '118,719'
  ✗ COSTCO_2017_10K: '129,025'
  ✗ COSTCO_2018_10K: '141,576'
  ✓ EBAY_2021_10K: '10,420'
  ✗ FOOTLOCKER_2023_10K: '8,759'
  ✓ GENERALMILLS_2022_10K: '18,992.8'
  ✓ INTEL_2016_10K: '59,387'
  ✓ INTEL_2022_10K: '63,054'
  ✓ JOHNSON_JOHNSON_2022_10K: '94,943'
  ✓ KRAFTHEINZ_2021_10K: '26,042'
  ✓ LOCKHEEDMARTIN_2021_10K: '67,044'
  ✓ LOCKHEEDMARTIN_2022_10K: '65,984'
  ✓ NIKE_2019_10K: '39,117'
  ✓ NIKE_2021_10K: '44,538'

Question: What is total revenue for the most recent fiscal year (from the audite
  accuracy=0.80 (47/59)  avg_in=13971  avg_out=127  avg_lat=1.8s

  ✓ ACTIVISIONBLIZZARD_2017_10K: '18,668'
  ✓ ACTIVISIONBLIZZARD_2020_10K: '23,109'
  ✗ ADOBE_2015_10K: '11,726,472'
  ✗ ADOBE_2016_10K: '12,707,114'
  ✗ ADOBE_2017_10K: '14,535,556'
  ✗ ADOBE_2018_10K: '18,768,682'
  ✗ ADOBE_2019_10K: '20,762,400'
  ✓ ADOBE_2020_10K: '24,284'
  ✓ ADOBE_2021_10K: '27,241'
  ✓ ADOBE_2022_10K: '27,165'
  ✓ AMAZON_2015_10K: '65,444'
  ✓ AMAZON_2016_10K: '83,402'
  ✓ AMAZON_2017_10K: '131,310'
  ✓ AMAZON_2018_10K: '162,648'
  ✓ AMAZON_2019_10K: '225,248'
  ✓ AMAZON_2020_10K: '321,195'
  ✓ AMAZON_2022_10K: '462,675'
  ✓ AMCOR_2019_10K: '17,165.0'
  ✓ AMCOR_2021_10K: '17,188'
  ✓ AMCOR_2022_10K: '17,426'
  ✗ AMCOR_2023_10K: '13,952'
  ✓ AMD_2019_10K: '6,028'
  ✓ AMD_2020_10K: '8,962'
  ✓ AMD_2021_10K: '12,419'
  ✓ AMD_2022_10K: '67,580'
  ✓ APPLE_2015_10K: '290,479'
  ✓ APPLE_2016_10K: '321,686'
  ✓ APPLE_2017_10K: '375,319'
  ✓ APPLE_2018_10K: '365,725'
  ✓ APPLE_2019_10K: '338,516'
  ✓ APPLE_2020_10K: '323,888'
  ✓ APPLE_2021_10K: '351,002'
  ✓ APPLE_2022_10K: '352,755'
  ✓ BESTBUY_2015_10K: '15,256'
  ✓ BESTBUY_2020_10K: '15,591'
  ✓ BESTBUY_2021_10K: '19,067'
  ✓ BESTBUY_2022_10K: '17,504'
  ✗ BESTBUY_2023_10K: '15,803'
  ✓ BOEING_2017_10K: '92,333'
  ✓ BOEING_2018_10K: '117,359'
  ✓ BOEING_2019_10K: '133,625'
  ✓ BOEING_2020_10K: '152,136'
  ✓ BOEING_2022_10K: '137,100'
  ✓ CORNING_2022_10K: '29,499'
  ✓ COSTCO_2015_10K: '33,440'
  ✓ COSTCO_2016_10K: '33,163'
  ✓ COSTCO_2017_10K: '36,347'
  ✓ COSTCO_2018_10K: '40,830'
  ✓ EBAY_2021_10K: '26,626'
  ✓ FOOTLOCKER_2023_10K: '7,907'
  ✓ GENERALMILLS_2022_10K: '31,090.1'
  ✓ INTEL_2016_10K: '113,327'
  ✓ INTEL_2022_10K: '182,103'
  ✓ JOHNSON_JOHNSON_2022_10K: '187,378'
  ✓ KRAFTHEINZ_2021_10K: '93,394'
  ✓ LOCKHEEDMARTIN_2021_10K: '50,873'
  ✓ LOCKHEEDMARTIN_2022_10K: '52,880'
  ✓ NIKE_2019_10K: '23,717'
  ✓ NIKE_2021_10K: '37,740'

Question: What is total assets at year-end (from the audited balance sheet)?
  accuracy=0.88 (52/59)  avg_in=13971  avg_out=127  avg_lat=1.8s

  ✓ ACTIVISIONBLIZZARD_2017_10K: '(310) 255-2000'
  ✓ ACTIVISIONBLIZZARD_2020_10K: '(310) 255-2000'
  ✓ ADOBE_2015_10K: '(408) 536-6000'
  ✓ ADOBE_2016_10K: '(408) 536-6000'
  ✓ ADOBE_2017_10K: '(408) 536-6000'
  ✓ ADOBE_2018_10K: '(408) 536-6000'
  ✓ ADOBE_2019_10K: '(408) 536-6000'
  ✓ ADOBE_2020_10K: '(408) 536-6000'
  ✓ ADOBE_2021_10K: '(408) 536-6000'
  ✓ ADOBE_2022_10K: '(408) 536-6000'
  ✗ AMAZON_2015_10K: '(98109-5210'
  ✗ AMAZON_2016_10K: '(98109-5210'
  ✗ AMAZON_2017_10K: '(98109-5210'
  ✗ AMAZON_2018_10K: '(98109-5210'
  ✗ AMAZON_2019_10K: '(98109-5210'
  ✗ AMAZON_2020_10K: '(98109-5210'
  ✗ AMAZON_2022_10K: '(98109-5210'
  ✓ AMCOR_2019_10K: '+44 117 9753200'
  ✓ AMCOR_2021_10K: '+44 117 9753200'
  ✓ AMCOR_2022_10K: '+44 117 9753200'
  ✓ AMCOR_2023_10K: '+44 117 9753200'
  ✓ AMD_2019_10K: '(408) 749-4000'
  ✓ AMD_2020_10K: '(408) 749-4000'
  ✓ AMD_2021_10K: '(408) 749-4000'
  ✓ AMD_2022_10K: '(408) 749-4000'
  ✓ APPLE_2015_10K: '(408) 996-1010'
  ✓ APPLE_2016_10K: '(408) 996-1010'
  ✓ APPLE_2017_10K: '(408) 996-1010'
  ✓ APPLE_2018_10K: '(408) 996-1010'
  ✓ APPLE_2019_10K: '(408) 996-1010'
  ✓ APPLE_2020_10K: '(408) 996-1010'
  ✓ APPLE_2021_10K: '(408) 996-1010'
  ✓ APPLE_2022_10K: '(408) 996-1010'
  ✓ BESTBUY_2015_10K: '(612) 291-1000'
  ✓ BESTBUY_2020_10K: '(612) 291-1000'
  ✓ BESTBUY_2021_10K: '(612) 291-1000'
  ✓ BESTBUY_2022_10K: '(612) 291-1000'
  ✓ BESTBUY_2023_10K: '(612) 291-1000'
  ✓ BOEING_2017_10K: '(312) 544-2000'
  ✓ BOEING_2018_10K: '(312) 544-2000'
  ✓ BOEING_2019_10K: '(312)-544-2000'
  ✓ BOEING_2020_10K: '(312)-544-2000'
  ✓ BOEING_2022_10K: '(703)-414-6338'
  ✓ CORNING_2022_10K: '(607-974-9000'
  ✓ COSTCO_2015_10K: '(425) 313-8100'
  ✓ COSTCO_2016_10K: '(425) 313-8100'
  ✓ COSTCO_2017_10K: '(425) 313-8100'
  ✓ COSTCO_2018_10K: '(425) 313-8100'
  ✓ EBAY_2021_10K: '(408) 376-7108'
  ✓ FOOTLOCKER_2023_10K: '(212) 720-3700'
  ✓ GENERALMILLS_2022_10K: '(763) 764-7600'
  ✓ INTEL_2016_10K: '(408) 765-8080'
  ✓ INTEL_2022_10K: '(408) 765-8080'
  ✓ JOHNSON_JOHNSON_2022_10K: '(732) 524-0400'
  ✓ KRAFTHEINZ_2021_10K: '(412) 456-5700'
  ✓ LOCKHEEDMARTIN_2021_10K: '(301) 897-6000'
  ✓ LOCKHEEDMARTIN_2022_10K: '(301) 897-6000'
  ✓ NIKE_2019_10K: '(503) 671-6453'
  ✓ NIKE_2021_10K: '(503) 671-6453'

Question: What is the registrant's telephone number?
  accuracy=0.88 (52/59)  avg_in=13971  avg_out=127  avg_lat=1.8s

  ✓ ACTIVISIONBLIZZARD_2017_10K: '758,631,663'
  ✓ ACTIVISIONBLIZZARD_2020_10K: '774,753,965'
  ✗ ADOBE_2015_10K: '0.0001'
  ✗ ADOBE_2016_10K: '0.0001'
  ✗ ADOBE_2017_10K: '0.0001'
  ✗ ADOBE_2018_10K: '0.0001'
  ✓ ADOBE_2019_10K: '482,130,975'
  ✓ ADOBE_2020_10K: '478.7 million'
  ✓ ADOBE_2021_10K: '471.7 million'
  ✓ ADOBE_2022_10K: '457.8 million'
  ✓ AMAZON_2015_10K: '470,842,035'
  ✓ AMAZON_2016_10K: '477,170,618'
  ✓ AMAZON_2017_10K: '484,107,183'
  ✓ AMAZON_2018_10K: '491,202,890'
  ✓ AMAZON_2019_10K: '497,810,444'
  ✓ AMAZON_2020_10K: '503,564,743'
  ✓ AMAZON_2022_10K: '10,247,259,757'
  ✓ AMCOR_2019_10K: '1,625,907,855'
  ✓ AMCOR_2021_10K: '1,538,319,792'
  ✓ AMCOR_2022_10K: '1,489,019,556'
  ✓ AMCOR_2023_10K: '1,448,493,870'
  ✗ AMD_2019_10K: '0.01'
  ✗ AMD_2020_10K: '0.01'
  ✗ AMD_2021_10K: '0.01'
  ✗ AMD_2022_10K: '0.01'
  ✓ APPLE_2015_10K: '5,575,331,000'
  ✓ APPLE_2016_10K: '5,332,313,000'
  ✓ APPLE_2017_10K: '5,134,312,000'
  ✓ APPLE_2018_10K: '4,745,398,000'
  ✓ APPLE_2019_10K: '4,443,265,000'
  ✓ APPLE_2020_10K: '17,001,802,000'
  ✓ APPLE_2021_10K: '16,406,397,000'
  ✓ APPLE_2022_10K: '15,908,118,000'
  ✓ BESTBUY_2015_10K: '352,185,626'
  ✗ BESTBUY_2020_10K: '0.10'
  ✗ BESTBUY_2021_10K: '0.10'
  ✗ BESTBUY_2022_10K: '0.10'
  ✗ BESTBUY_2023_10K: '0.10'
  ✓ BOEING_2017_10K: '588,490,313'
  ✓ BOEING_2018_10K: '564,985,109'
  ✓ BOEING_2019_10K: '563,152,208'
  ✓ BOEING_2020_10K: '582,996,860'
  ✓ BOEING_2022_10K: '598,239,585'
  ✓ CORNING_2022_10K: '846,563,422'
  ✓ COSTCO_2015_10K: '437,406,636'
  ✓ COSTCO_2016_10K: '437,126,569'
  ✓ COSTCO_2017_10K: '436,989,606'
  ✓ COSTCO_2018_10K: '438,208,376'
  ✓ EBAY_2021_10K: '587,528,915'
  ✓ FOOTLOCKER_2023_10K: '93,429,371'
  ✗ GENERALMILLS_2022_10K: '157,454,888'
  ✗ INTEL_2016_10K: '4,728'
  ✗ INTEL_2022_10K: '4,137'
  ✓ JOHNSON_JOHNSON_2022_10K: '2,604,286,303'
  ✓ KRAFTHEINZ_2021_10K: '1,223,740,203'
  ✓ LOCKHEEDMARTIN_2021_10K: '272,326,925'
  ✓ LOCKHEEDMARTIN_2022_10K: '255,297,298'
  ✓ NIKE_2019_10K: '1,566,888,373'
  ✓ NIKE_2021_10K: '1,581,801,224'

Question: How many shares of common stock were outstanding as of the cover-page 
  accuracy=0.75 (44/59)  avg_in=13971  avg_out=127  avg_lat=1.8s

  ✓ ACTIVISIONBLIZZARD_2017_10K: 'ACTIVISION BLIZZARD, INC.'
  ✓ ACTIVISIONBLIZZARD_2020_10K: 'ACTIVISION BLIZZARD, INC.'
  ✓ ADOBE_2015_10K: 'ADOBE SYSTEMS INCORPORATED'
  ✓ ADOBE_2016_10K: 'ADOBE SYSTEMS INCORPORATED'
  ✓ ADOBE_2017_10K: 'ADOBE SYSTEMS INCORPORATED'
  ✓ ADOBE_2018_10K: 'Adobe Inc.'
  ✓ ADOBE_2019_10K: 'ADOBE INC.'
  ✓ ADOBE_2020_10K: 'ADOBE INC.'
  ✓ ADOBE_2021_10K: 'ADOBE INC.'
  ✓ ADOBE_2022_10K: 'ADOBE INC.'
  ✓ AMAZON_2015_10K: 'AMAZON.COM, INC.'
  ✓ AMAZON_2016_10K: 'AMAZON.COM, INC.'
  ✓ AMAZON_2017_10K: 'AMAZON.COM, INC.'
  ✓ AMAZON_2018_10K: 'AMAZON.COM, INC.'
  ✓ AMAZON_2019_10K: 'AMAZON.COM, INC.'
  ✓ AMAZON_2020_10K: 'AMAZON.COM, INC.'
  ✓ AMAZON_2022_10K: 'AMAZON.COM, INC.'
  ✓ AMCOR_2019_10K: 'AMCOR PLC'
  ✓ AMCOR_2021_10K: 'AMCOR PLC'
  ✓ AMCOR_2022_10K: 'AMCOR PLC'
  ✓ AMCOR_2023_10K: 'AMCOR PLC'
  ✓ AMD_2019_10K: 'ADVANCED MICRO DEVICES, INC.'
  ✓ AMD_2020_10K: 'ADVANCED MICRO DEVICES, INC.'
  ✓ AMD_2021_10K: 'ADVANCED MICRO DEVICES, INC.'
  ✓ AMD_2022_10K: 'ADVANCED MICRO DEVICES, INC.'
  ✓ APPLE_2015_10K: 'Apple Inc.'
  ✓ APPLE_2016_10K: 'Apple Inc.'
  ✓ APPLE_2017_10K: 'Apple Inc.'
  ✓ APPLE_2018_10K: 'Apple Inc.'
  ✓ APPLE_2019_10K: 'Apple Inc.'
  ✓ APPLE_2020_10K: 'Apple Inc.'
  ✓ APPLE_2021_10K: 'Apple Inc.'
  ✓ APPLE_2022_10K: 'Apple Inc.'
  ✓ BESTBUY_2015_10K: 'BEST BUY CO., INC.'
  ✓ BESTBUY_2020_10K: 'BEST BUY CO., INC.'
  ✓ BESTBUY_2021_10K: 'BEST BUY CO., INC.'
  ✓ BESTBUY_2022_10K: 'BEST BUY CO., INC.'
  ✓ BESTBUY_2023_10K: 'BEST BUY CO., INC.'
  ✓ BOEING_2017_10K: 'THE BOEING COMPANY'
  ✓ BOEING_2018_10K: 'THE BOEING COMPANY'
  ✓ BOEING_2019_10K: 'THE BOEING COMPANY'
  ✓ BOEING_2020_10K: 'THE BOEING COMPANY'
  ✓ BOEING_2022_10K: 'THE BOEING COMPANY'
  ✓ CORNING_2022_10K: 'CORNING INCORPORATED'
  ✓ COSTCO_2015_10K: 'Costco Wholesale Corporation'
  ✓ COSTCO_2016_10K: 'Costco Wholesale Corporation'
  ✓ COSTCO_2017_10K: 'Costco Wholesale Corporation'
  ✓ COSTCO_2018_10K: 'Costco Wholesale Corporation'
  ✓ EBAY_2021_10K: 'eBay Inc.'
  ✓ FOOTLOCKER_2023_10K: 'FOOT LOCKER, INC.'
  ✓ GENERALMILLS_2022_10K: 'GENERAL MILLS, INC.'
  ✓ INTEL_2016_10K: 'INTEL CORPORATION'
  ✓ INTEL_2022_10K: 'INTEL CORPORATION'
  ✓ JOHNSON_JOHNSON_2022_10K: 'JOHNSON & JOHNSON'
  ✓ KRAFTHEINZ_2021_10K: 'The Kraft Heinz Company'
  ✓ LOCKHEEDMARTIN_2021_10K: 'LOCKHEED MARTIN CORPORATION'
  ✓ LOCKHEEDMARTIN_2022_10K: 'LOCKHEED MARTIN CORPORATION'
  ✓ NIKE_2019_10K: 'NIKE, Inc.'
  ✓ NIKE_2021_10K: 'NIKE, Inc.'

Question: What is the registrant's exact name?
  accuracy=1.00 (59/59)  avg_in=13971  avg_out=127  avg_lat=1.8s

  ✗ ACTIVISIONBLIZZARD_2017_10K: "Registrant's telephone number, including area code: (310) 255-2000; 95-4803544"
  ✓ ACTIVISIONBLIZZARD_2020_10K: 'Delaware; 95-4803544'
  ✓ ADOBE_2015_10K: 'Delaware; 77-0019522'
  ✓ ADOBE_2016_10K: 'Delaware; 77-0019522'
  ✓ ADOBE_2017_10K: 'Delaware; 77-0019522'
  ✓ ADOBE_2018_10K: 'Delaware; 77-0019522'
  ✓ ADOBE_2019_10K: 'Delaware; 77-0019522'
  ✓ ADOBE_2020_10K: 'Delaware; 77-0019522'
  ✓ ADOBE_2021_10K: 'Delaware; 77-0019522'
  ✓ ADOBE_2022_10K: 'Delaware; 77-0019522'
  ✓ AMAZON_2015_10K: 'Delaware; 91-1646860'
  ✓ AMAZON_2016_10K: 'Delaware; 91-1646860'
  ✓ AMAZON_2017_10K: 'Delaware; 91-1646860'
  ✓ AMAZON_2018_10K: 'Delaware; 91-1646860'
  ✓ AMAZON_2019_10K: 'Delaware; 91-1646860'
  ✓ AMAZON_2020_10K: 'Delaware; 91-1646860'
  ✓ AMAZON_2022_10K: 'Delaware; 91-1646860'
  ✓ AMCOR_2019_10K: 'Jersey (Channel Islands); 98-1455367'
  ✓ AMCOR_2021_10K: 'Jersey; 98-1455367'
  ✓ AMCOR_2022_10K: 'Jersey; 98-1455367'
  ✓ AMCOR_2023_10K: 'Jersey; 98-1455367'
  ✓ AMD_2019_10K: 'Delaware; 94-1692300'
  ✓ AMD_2020_10K: 'Delaware; 94-1692300'
  ✓ AMD_2021_10K: 'Delaware; 94-1692300'
  ✓ AMD_2022_10K: 'Delaware; 94-1692300'
  ✓ APPLE_2015_10K: 'California; 94-2404110'
  ✓ APPLE_2016_10K: 'California; 94-2404110'
  ✓ APPLE_2017_10K: 'California; 94-2404110'
  ✓ APPLE_2018_10K: 'California; 94-2404110'
  ✓ APPLE_2019_10K: 'California; 94-2404110'
  ✓ APPLE_2020_10K: 'California; 94-2404110'
  ✓ APPLE_2021_10K: 'California; 94-2404110'
  ✓ APPLE_2022_10K: 'California; 94-2404110'
  ✓ BESTBUY_2015_10K: 'Minnesota; 41-0907483'
  ✓ BESTBUY_2020_10K: 'Minnesota; 41-0907483'
  ✓ BESTBUY_2021_10K: 'Minnesota; 41-0907483'
  ✓ BESTBUY_2022_10K: 'Minnesota; 41-0907483'
  ✓ BESTBUY_2023_10K: 'Minnesota; 41-0907483'
  ✓ BOEING_2017_10K: 'Delaware; 91-0425694'
  ✓ BOEING_2018_10K: 'Delaware; 91-0425694'
  ✓ BOEING_2019_10K: 'Delaware; 91-0425694'
  ✓ BOEING_2020_10K: 'Delaware; 91-0425694'
  ✓ BOEING_2022_10K: 'Delaware; 91-0425694'
  ✓ CORNING_2022_10K: 'New York; 16-0393470'
  ✓ COSTCO_2015_10K: 'Washington; 91-1223280'
  ✓ COSTCO_2016_10K: 'Washington; 91-1223280'
  ✓ COSTCO_2017_10K: 'Washington; 91-1223280'
  ✓ COSTCO_2018_10K: 'Washington; 91-1223280'
  ✓ EBAY_2021_10K: 'Delaware; 77-0430924'
  ✓ FOOTLOCKER_2023_10K: 'New York; 13-3513936'
  ✓ GENERALMILLS_2022_10K: 'Delaware; 41-0274440'
  ✓ INTEL_2016_10K: 'Delaware; 94-1672743'
  ✓ INTEL_2022_10K: 'Delaware; 94-1672743'
  ✓ JOHNSON_JOHNSON_2022_10K: 'New Jersey; 22-1024240'
  ✓ KRAFTHEINZ_2021_10K: 'Delaware; 46-2078182'
  ✓ LOCKHEEDMARTIN_2021_10K: 'Maryland; 52-1893632'
  ✓ LOCKHEEDMARTIN_2022_10K: 'Maryland; 52-1893632'
  ✓ NIKE_2019_10K: 'OREGON; 93-0584541'
  ✓ NIKE_2021_10K: 'Oregon; 93-0584541'

Question: What is the state (or other jurisdiction) of incorporation and the IRS
  accuracy=0.98 (58/59)  avg_in=13971  avg_out=126  avg_lat=1.8s

  ✓ ACTIVISIONBLIZZARD_2017_10K: '3100 Ocean Park Boulevard, Santa Monica, CA 90405'
  ✓ ACTIVISIONBLIZZARD_2020_10K: '3100 Ocean Park Boulevard, Santa Monica, CA 90405'
  ✓ ADOBE_2015_10K: '345 Park Avenue, San Jose, California 95110-2704'
  ✓ ADOBE_2016_10K: '345 Park Avenue, San Jose, California 95110-2704'
  ✓ ADOBE_2017_10K: '345 Park Avenue, San Jose, California 95110-2704'
  ✓ ADOBE_2018_10K: '345 Park Avenue, San Jose, California 95110-2704'
  ✓ ADOBE_2019_10K: '345 Park Avenue, San Jose, California 95110-2704'
  ✓ ADOBE_2020_10K: '345 Park Avenue, San Jose, California 95110-2704'
  ✓ ADOBE_2021_10K: '345 Park Avenue, San Jose, California 95110-2704'
  ✓ ADOBE_2022_10K: '345 Park Avenue, San Jose, California 95110-2704'
  ✗ AMAZON_2015_10K: '410 Terry Avenue North'
